nombre	categoria	tags	enlace
statflow	marketplace	marketplace, bitcoin	https://www.satflow.com/
bitcoin	crypto	crypto, l1, bitcoin	https://bitcoin.org/
mempool	explorer	explorer, bitcoin	https://mempool.space/
etherscan	explorer	explorer, ethereum	https://etherscan.io/
blokstream	explorer	explorer, bitcoin	https://blockstream.com/
hyperliquid explorer	explorer	explorer, hyperliquid	https://app.hyperliquid.xyz/explorer
hypurrscan	explorer	explorer, hyperliquid	https://hypurrscan.xyz/
coingecko	data	data, charts	https://www.coingecko.com/
coinmarketcap	data	data, charts	https://coinmarketcap.com/
defillama	data	data, charts, tool	https://defillama.com/
cryptorank	data	data, charts, tool	https://cryptorank.io/
community arc	social	social, community, arc	https://community.arc.io/home
velodrome	defi	defi, swap, pools liquidity	https://velodrome.finance/
sparrow wallet	wallet	wallet, bitcoin	https://sparrowwallet.com/
polkadot	l0	l0, infrastructure	https://polkadot.com/
arc	l1	l1, infrastructure	https://arc.network/
ronin	l2	l2, EVM, gaming	https://ronin.network/
soneium	l2	l2, EVM	https://soneium.com/portal/
bitpay	cex	cex	https://bitpay.com/
zerion	l2	l2, EVM	https://zerion.io/
chainlist	tool	tool	https://chainlist.org/
rabby	wallet	wallet, EVM	https://rabby.io/
circle	stablecoin	stablecoin, stock	https://www.circle.com/
