nombre	categoria	tags	palabras clave	frase / texto	enlace
hyperliquid	perps	perps, crypto, dex, defi	@hyperliquidx, Hyperliquid $HYPE	💧 Haz trading de perpetuos aquí:	https://app.hyperliquid.xyz/join/ELLENAADOR
sunflowerland	gaming	gaming	@0xsunflowerland, #SunflowerLand, SFL, #SunflowerLandFarm, $FLOWER	🧑‍🌾 Empieza tu granja en web3 aquí:	https://sunflower-land.com/play/?ref=Oxlenador
yakkamon	gaming	gaming	@yakkamon_game yakkamon	🐙 Inicia a jugar Yakkamon aquí:	https://yakkamon.com/?code=VNTB4Y
hapi	broker	broker	@hapiapp_, Hapi	Invierte en la bolsa de EE.UU desde LATAM:	https://app.hapi.trade/rewards?code=MANVAR27
binance	cex	cex	@binance, Binance, bnb	Haz trading en el mayor mercado de criptomonedas:	https://www.binance.com/en?ref=11581761
bybit	cex	cex	@Bybit_Official, Bybit	Accede a merados globales cripto:	https://www.bybit.com/invite?ref=KV0EGZ0
tradingview	charts	charts	@tradingview, tradingview	La mejora grafica para operar en los mercados: 	https://es.tradingview.com/pricing/?share_your_love=feliped7
nado	perps	perps, defi	@nadoHQ, Nado	Perps cripto y rwa en la red de ink (Kraken):	https://app.nado.xyz/?join=iour8mw
ledger	wallet	wallet	@Ledger, ledger	Guarda tus monedas en una Hardware wallet:	https://shop.ledger.com/es/pages/referral-program?referral_code=SVEG6JY1ASEVP
base app	wallet	wallet, social, base	@CoinbaseWallet, base, baseapp	Wallet para intercambiar todo en cadena:	https://base.app/invite/0xlenador/W6KNLN0H
nansen	data	data, charts	@nansen_ai, nansen	Herramienta onchain inteligente:	https://app.nansen.ai/welcome?ref=3tQvVmowScZ
polymarket	predictions	predictions, perps, defi	@Polymarket, Polymarket	El mercado de predicciones mas grande del mundo:	https://polymarket.com/?r=0xlenador
onchain gm	gm	gm	@OnChainGm	Has gm en todas las blockchain aqui:	https://onchaingm.com/?ref=0x3ec5B42376BFbE988cC619a0aCFE68049d4fb9bC
metamask	wallet	wallet, perps, swap, defi	@Metamask, metamask, $MASK	Billetera criptografica lider del mundo:	https://link.metamask.io/rewards?referral=NF0ST0
startale	swap	soneium, defi, swap	@StartaleApp, startale	App del ecosistema de Soneium:	https://app.startale.com/sign-up?code=VYANVN66
lighter	perps	perps, crypto, dex, defi	@Lighter_xyz, lighter, $LIT	Dex de perpetuos Lighter: 	https://app.lighter.xyz/?referral=9PQKM3LUEU7L
jumper	bridge	bridge	jumper, $JUMP, @jumperapp	Jumper sacara un producto especial:	https://waitlist.jumper.xyz/r/JMP-303B5557
kraken	cex	cex	kraken, @kraken, @krakenfx	Compra cripto aqui: 	https://invite.kraken.com/JDNW/evcar6fs
porjectx	defi	defi, swap, pool liquidity	@prjx_hl, projectx, Project X	Defi liquida del ecosistema Hyper EVM:	https://www.prjx.com/@0xlenador
fomo	perps	perps, hyperliquid	@fomo	Haz trading social super eficiente: 	https://fomo.family/r/0xlenador
